Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
2001,2,,59,15,Y,"$660,000",Brandon League (minors),RHP,2.7,158.0,2.0,0.0,0.0,0.333,498.0,27.0,35.0,3.65,1.33,74.0,HS,"St. Louis School (Honolulu, HI)",2
2000,2,,45,5,Y,"$800,000",*Peter Bauer (minors),RHP,,,,,,,,,,,,,4Yr,"University of South Carolina (Columbia, SC)",2
2000,2,,58,18,Y,"$600,000",Dominic Rich (minors),2B,,,,,,,,,,,,,4Yr,"Auburn University (Auburn, AL)",2
1999,2,,70,19,Y,"$495,000",Mike Snyder (minors),3B,,,,,,,,,,,,,HS,"Senator Ruben S. Ayala HS (Chino Hills, CA)",2
1996,2,,44,9,Y,,*Brent Abernathy (minors),SS,0.0,232.0,868.0,8.0,0.244,0.622,,,,,,,HS,"Lovett School (Atlanta, GA)",2
1995,2,,47,17,Y,,Craig Wilson (minors),C,3.4,698.0,2010.0,99.0,0.262,0.827,,,,,,,HS,"Marina HS (Huntington Beach, CA)",2
1994,2,,62,28,Y,,John Crowther (minors),RHP,,,,,,,,,,,,,4Yr,"Coker University (Hartsville, SC)",2
1993,2,,47,5,Y,,*Tony Medrano (minors),SS,,,,,,,,,,,,,HS,"Jordan HS (Long Beach, CA)",2
1993,2,,57,15,Y,,*Ryan Jones (minors),1B,,,,,,,,,,,,,HS,"Irvine HS (Irvine, CA)",2
1992,2,,63,25,Y,,Tim Crabtree (minors),RHP,4.3,15.0,1.0,0.0,0.0,0.0,342.0,21.0,22.0,4.2,1.48,9.0,4Yr,"Michigan State University (East Lansing, MI)",2
1991,2,,56,12,Y,,*Trevor Mallory (minors),RHP,,,,,,,,,,,,,HS,"Lakewood HS (St. Petersburg, FL)",2
1991,2,,65,21,Y,,Dennis Gray (minors),LHP,,,,,,,,,,,,,4Yr,"California State University, Long Beach (Long Beach, CA)",2
1990,2,,62,22,Y,,Chris Weinke (minors),3B,,,,,,,,,,,,,HS,"Cretin HS (St. Paul, MN)",2
1990,2s,,71,31,Y,,*Tim Hyers (minors),1B,-1.2,133.0,230.0,2.0,0.217,0.585,,,,,,,HS,"Newton HS (Covington, GA)",2
1989,2,,49,19,N,,Mike Moore (minors),OF,,,,,,,,,,,,,4Yr,"University of California, Los Angeles (Los Angeles, CA)",2
1989,2s,,60,30,Y,,*Brent Bowers (minors),OF,0.3,21.0,39.0,0.0,0.308,0.667,,,,,,,HS,"St. Laurence HS (Burbank, IL)",2
1988,2,,55,25,Y,,Tim Hodge (minors),C,,,,,,,,,,,,,HS,"Robert M. Callaway HS (Jackson, MS)",2
1987,2,,49,17,Y,,Derek Bell (minors),OF,13.1,1210.0,4578.0,134.0,0.276,0.757,1.0,0.0,0.0,36.0,6.0,0.0,HS,"C. Leon King HS (Tampa, FL)",2
1986,2,,54,26,Y,,Steve Cummings (minors),RHP,0.2,0.0,0.0,0.0,,,11.0,2.0,0.0,3.78,1.68,0.0,4Yr,"University of Houston (Houston, TX)",2
1985,2,,53,25,Y,,Kevin Batiste (minors),OF,-0.1,6.0,8.0,0.0,0.25,0.5,,,,,,,HS,"Ball HS (Galveston, TX)",2
1984,2,,48,20,Y,,Dane Johnson (minors),RHP,0.3,5.0,0.0,0.0,,,63.0,6.0,2.0,4.7,1.75,2.0,4Yr,"St. Thomas University (Miami Gardens, FL)",2
