Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1984,2,,32,4.0,Y,,John Farrell (minors),RHP,7.2,0.0,0.0,0.0,,,116.0,36.0,46.0,4.56,1.41,0.0,4Yr,"Oklahoma State University (Stillwater, OK)",2
1984,2,,38,10.0,N,,*Kurt Dempster (minors),RHP,,,,,,,,,,,,,HS,"Esperanza HS (Anaheim, CA)",2
1983,2,,39,11.0,Y,,Andy Allanson (minors),C,0.8,512.0,1486.0,16.0,0.24,0.594,,,,,,,4Yr,"University of Richmond (Richmond, VA)",2
1982,2,,40,12.0,Y,,Jim Wilson (minors),1B,-0.2,9.0,22.0,0.0,0.227,0.488,,,,,,,4Yr,"Oregon State University (Corvallis, OR)",2
1981,2,,39,13.0,Y,,Neal Heaton (minors),LHP,8.4,184.0,187.0,0.0,0.171,0.384,382.0,80.0,96.0,4.37,1.4,10.0,4Yr,"University of Miami (Coral Gables, FL)",2
1979,2,,33,7.0,Y,,Chris Rehbaum (minors),OF,,,,,,,,,,,,,HS,"St. Joseph's Collegiate Institute (Buffalo, NY)",2
1978,2,,36,10.0,Y,,Chris Bando (minors),C,1.7,498.0,1284.0,27.0,0.227,0.629,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",2
1977,2,,37,11.0,Y,,Venson Davis (minors),OF,,,,,,,,,,,,,4Yr,"Jacksonville State University (Jacksonville, AL)",2
1976,2,,38,14.0,Y,,Sam Spence (minors),RHP,,,,,,,,,,,,,HS,"Brandon HS (Brandon, FL)",2
1975,2,,31,7.0,Y,,Daniel Skiba (minors),RHP,,,,,,,,,,,,,HS,"South Houston HS (South Houston, TX)",2
1974,2,,28,4.0,Y,,Rickey Howerton (minors),C,,,,,,,,,,,,,HS,"William Howard Taft Charter HS (Woodland Hills, CA)",2
1973,2,,29,5.0,Y,,Tom McMillan (minors),INF,-0.2,2.0,5.0,0.0,0.0,0.0,,,,,,,4Yr,"Jacksonville University (Jacksonville, FL)",2
1972,2,,26,2.0,Y,,Bob Grossman (minors),RHP,,,,,,,,,,,,,4Yr,"University of Maryland (College Park, MD)",2
1971,2,,33,9.0,N,,Jim Umbarger (minors),LHP,2.0,0.0,0.0,0.0,,,133.0,25.0,33.0,4.14,1.48,3.0,HS,"Grant HS (Van Nuys, CA)",2
1970,2,,26,2.0,Y,,Bill Flowers (minors),OF,,,,,,,,,,,,,HS,"Courter Tech HS (Cincinnati, OH)",2
1969,2,,39,15.0,Y,,Victor Ambrose (minors),2B,,,,,,,,,,,,,4Yr,"University of Albuquerque (Albuquerque, NM)",2
1968,2,,26,6.0,Y,,Mike Parks (minors),3B,,,,,,,,,,,,,HS,"Lakewood HS (Lakewood, CA)",2
1967,2,,31,11.0,Y,,Mark Ballinger (minors),RHP,-0.1,18.0,5.0,0.0,0.2,0.4,18.0,1.0,2.0,4.67,1.24,0.0,HS,"Thousand Oaks HS (Thousand Oaks, CA)",2
